"","X","LRR","var.LRR","scale","col","ID.study","ID.case","system","pr.st"
"1",1.814417493,0.194156014440957,0.0239968546235576,1.43541293933746,"darkblue","BBH007",1,"freshwater",-0.255357652648134
"2",1.814417493,0.0753494372417868,0.00707392050891326,1.50599133379695,"darkblue","BBH007",2,"freshwater",-0.255357652648134
"3",4.281728072,0.693147180559945,0.00170702858801057,1.58813449974616,"darkblue","BBH008",3,"freshwater",1.42386483074808
"4",4.281728072,0.464305608131098,0.00332483319174086,1.54961475945418,"darkblue","BBH008",4,"freshwater",1.42386483074808
"5",3.844036121,0.72054615474806,0.00629371320821023,1.51274368204998,"darkblue","BBH009",5,"freshwater",1.12597685054145
"6",3.844036121,0.62509371731493,0.0159925561118277,1.45885991778848,"darkblue","BBH009",6,"freshwater",1.12597685054145
"7",0.459111188,1.01856958099457,0.0115628119901624,1.47759957559132,"darkblue","BBH041",7,"freshwater",-1.17776314088101
"8",0.676674529,0.227783930870712,0.0093343749374036,1.48996965307591,"darkblue","BBH042",8,"freshwater",-1.02969209669246
"9",1.136751412,0.196710294246054,0.000820650646837185,1.63045306409356,"darkblue","BBH043",9,"freshwater",-0.71656919574921
"10",1.136751412,0.0281708769666964,0.000729448559670782,1.63726001560273,"darkblue","BBH044",10,"freshwater",-0.71656919574921
"11",1.045456549,0.185403223331363,0.0029590279299681,1.55634948897232,"darkblue","BBH045",11,"freshwater",-0.778703402878622
"13",0.757164733,0.287682072451781,0.00266446814814815,1.56240805996612,"darkblue","BBH047",13,"freshwater",-0.974911413060516
"14",1.381072417,0.127833371509885,0.00177898691460055,1.58574878276399,"darkblue","BBH048",14,"freshwater",-0.55028720099189
"15",1.263106667,0.417299565755167,0.00856822508415131,1.49491809457816,"darkblue","BBH049",15,"freshwater",-0.630573299287218
"16",1.163948364,0.510825623765991,0.010739882533421,1.48186544905523,"darkblue","BBH050",16,"freshwater",-0.69805927094811
"17",1.480045408,0.547965170715447,0.00271183497686876,1.56138992046866,"darkblue","BBH051",17,"freshwater",-0.482927350492837
"18",1.017095431,0.773189888233482,0.00367904065307911,1.54376557194871,"darkblue","BBH052",18,"freshwater",-0.798005645330465
"19",1.882731247,0.994252273343867,0.00137377647918188,1.60068371864471,"darkblue","BBH053",19,"freshwater",-0.208864117290906
"20",1.157157433,0.421213465076303,0.000933796370110544,1.62299018258269,"darkblue","BBH054",20,"freshwater",-0.702681098502149
"21",1.528615768,0.302280871872934,0.00318428494493539,1.55211036690482,"darkblue","BBH055",21,"freshwater",-0.449870936260744
"22",1.528615768,0.526093095896779,0.00232943786982249,1.57017235461026,"darkblue","BBH056",22,"freshwater",-0.449870936260744
"23",1.768149604,0.415515443961666,0.00100181887052342,1.61892745291276,"darkblue","BBH057",23,"freshwater",-0.286847032270366
"24",1.222039386,0.245122458032985,0.00507347195967234,1.52519670661573,"darkblue","BBH058",24,"freshwater",-0.65852320643474
"25",1.444821047,-0.0246926125903714,0.000114179853261947,1.74441332869374,"darkblue","BBH059",25,"freshwater",-0.506900635193152
"26",1.444821047,0.148420005118273,0.00103077295283393,1.6172812078147,"darkblue","BBH060",26,"freshwater",-0.506900635193152
"27",1.444821047,0.0800427076735366,0.00784624150777997,1.50000421143239,"darkblue","BBH062",27,"freshwater",-0.506900635193152
"28",1.48102162,0.217064505237828,6.95984960924661e-05,1.77301613743061,"darkblue","BBH063",28,"freshwater",-0.482262952117978
"29",1.633756911,0.420732580238953,0.000765620784579603,1.63446358443246,"darkblue","BBH064",29,"freshwater",-0.378313114250702
"30",1.748012124,0.154150679827258,0.00474510791971109,1.52906281823728,"darkblue","BBH065",30,"freshwater",-0.300552363679696
"31",1.748012124,0.129211731480006,0.0035461829770337,1.54589072297592,"darkblue","BBH066",31,"freshwater",-0.300552363679696
"32",1.748012124,0.211309093667207,0.00301414683520467,1.55528310606527,"darkblue","BBH067",32,"freshwater",-0.300552363679696
"33",1.748012124,-0.171850256926659,0.01099124105494,1.48052874185599,"darkblue","BBH068",33,"freshwater",-0.300552363679696
"34",1.748012124,0.496436886313891,0.000246673626917686,1.69990611008312,"darkblue","BBH069",34,"freshwater",-0.300552363679696
"35",1.503535244,0,0.00262708333333333,1.5632245011812,"darkblue","BBH070",35,"freshwater",-0.466940445123803
"36",1.458064075,0.0512932943875505,0.000894408125577101,1.62548026974546,"darkblue","BBH071",36,"freshwater",-0.49788758650965
"37",2.320622653,0.923670839171778,0.000762242442365472,1.63471910470138,"darkblue","BBH072",37,"freshwater",0.0891596096365741
"38",3.225680732,0.63907995928967,0.00735340218642773,1.50375247133049,"darkblue","BBH073",38,"freshwater",0.705131464972337
"39",3.225680732,0.859132318034206,0.00930539536075868,1.49014931552556,"darkblue","BBH073",39,"freshwater",0.705131464972337
"40",3.083992288,0.405465108108164,0.00787037037037037,1.4998267991229,"darkblue","BBH074",40,"freshwater",0.608699980899239
"41",3.083992288,0.387765531008763,0.015730409199691,1.4598148803428,"darkblue","BBH074",41,"freshwater",0.608699980899239
"42",2.823552847,0.693147180559945,0.0589666666666667,1.38346610126581,"darkblue","BBH075",42,"freshwater",0.431447968682928
"43",2.823552847,0.81351086280982,0.0292395980105888,1.42399560029026,"darkblue","BBH075",43,"freshwater",0.431447968682928
"44",3.650972698,0.470003629245736,0.0254083333333333,1.43211057136941,"darkblue","BBH076",44,"freshwater",0.994580161619367
"45",3.650972698,0.470003629245736,0.0204251700680272,1.44472441963803,"darkblue","BBH076",45,"freshwater",0.994580161619367
"46",3.511906821,1.08618976866955,0.0051623228166438,1.52419357840114,"darkblue","BBH077",46,"freshwater",0.899933565718879
"47",3.511906821,1.05605267424931,0.0295522457860744,1.42338106356351,"darkblue","BBH077",47,"freshwater",0.899933565718879
"48",0.873314833,-0.084557388028063,0.0180249687637698,1.45194746437609,"darkblue","BBH078",48,"freshwater",-0.895861024743464
"49",0.873314833,0.0870113769896297,0.0398683807774717,1.40608043749995,"darkblue","BBH078",49,"freshwater",-0.895861024743464
"50",0.765202787,-0.117783035656384,0.0164840534979424,1.45711092034958,"darkblue","BBH079",50,"freshwater",-0.969440808299836
"52",0.717419837,0.182321556793955,0.0392592592592593,1.40697002729848,"darkblue","BBH080",52,"freshwater",-1.00196132057175
"53",0.717419837,-0.207639364778244,0.0287228796844181,1.42502580590969,"darkblue","BBH080",53,"freshwater",-1.00196132057175
"54",2.691325171,0.502091943797236,0.0154038962693771,1.46102682450525,"darkblue","BBH081",54,"freshwater",0.341455371741029
"55",2.691325171,0.45953232937844,0.0279573202010875,1.42658672166918,"darkblue","BBH081",55,"freshwater",0.341455371741029
"56",1.972917764,0.296265816143172,0.0134153037290328,1.46901339023076,"darkblue","BBH082",56,"freshwater",-0.147484237378514
"57",1.972917764,0.200670695462151,0.0300245723225521,1.42246488605269,"darkblue","BBH082",57,"freshwater",-0.147484237378514
"58",3.291892878,0.606135803570315,0.00513653660506807,1.52448291595504,"darkblue","BBH083",58,"freshwater",0.750194670708753
