"","X","LRR","var.LRR","col","scale","pr.st","Source"
"1",4.60517018598809,0.3074847,1,"darkgreen",1,0,"Mack et al. 2004"
"2",4.02535169073515,0.2390169,1,"darkgreen",1,-0.155459760851709,"Giardina et al. 2004"
"3",3.91202300542815,0.182321557,1,"darkgreen",1,-0.185845218472855,"Magill et al. 2004"
"4",5.01063529409626,0.198850859,1,"darkgreen",1,0.108712483744951,"Magill et al. 2004"
"5",3.91202300542815,0.231111721,1,"darkgreen",1,-0.185845218472855,"Magill et al. 2004"
"6",3.91202300542815,0.086177696,1,"darkgreen",1,-0.185845218472855,"Magill et al. 2004"
"7",5.01063529409626,0.131028262,1,"darkgreen",1,0.108712483744951,"Magill et al. 2004"
"8",3.91202300542815,0.067658648,1,"darkgreen",1,-0.185845218472855,"Magill et al. 2004"
"9",5.7037824746562,0.2390169,1,"darkgreen",1,0.294557702217806,"Li et al. 2006"
"10",5.7037824746562,0,1,"darkgreen",1,0.294557702217806,"Li et al. 2006"
"11",5.7037824746562,0.198850859,1,"darkgreen",1,0.294557702217806,"Li et al. 2006"
"12",4.60517018598809,0.104360015,1,"darkgreen",1,0,"Nilsson 1993"
"13",3.91202300542815,-0.127833372,1,"darkgreen",1,-0.185845218472855,"Mo et al. 2008"
"14",4.60517018598809,-0.15082289,1,"darkgreen",1,0,"Mo et al. 2008"
"15",5.01063529409626,0.029558802,1,"darkgreen",1,0.108712483744951,"Mo et al. 2008"
"16",3.91202300542815,-0.127833372,1,"darkgreen",1,-0.185845218472855,"Mo et al. 2008"
"17",4.60517018598809,-0.030459207,1,"darkgreen",1,0,"Mo et al. 2007"
"18",3.91202300542815,0.336472237,1,"darkgreen",1,-0.185845218472855,"Mo et al. 2007"
"19",4.60517018598809,0.262364264,1,"darkgreen",1,0,"Mo et al. 2007"
"20",4.70048036579242,-0.15082289,1,"darkgreen",1,0.025554372412094,"Neilsen et al. 1992"
"21",4.07753744390572,0.593326845,1,"darkgreen",1,-0.14146782238444,"Will et al. 2006"
"22",3.91202300542815,0.609765572,1,"darkgreen",1,-0.185845218472855,"Bennett and Adams 2001"
"23",5.39362754635236,0.086177696,1,"darkgreen",1,0.211399590884949,"Campo and Vazquez-Yanes 2004"
"24",5.39362754635236,0.067658648,1,"darkgreen",1,0.211399590884949,"Campo and Vazquez-Yanes 2004"
"25",4.60517018598809,0.837247525,1,"darkgreen",1,0,"Carpenter et al. 1990"
"26",6.21460809842219,0.254642218,1,"darkgreen",1,0.431519234072602,"Ares and  Fownes. 2001"
"27",6.21460809842219,0.067658648,1,"darkgreen",1,0.431519234072602,"Ares and  Fownes. 2001"
"28",4.60517018598809,-0.083381609,1,"darkgreen",1,0,"D'Antonio and Mack. 2006"
"29",5.99146454710798,0.086177696,1,"darkgreen",1,0.37169043694571,"Davis et al. 2004"
"30",5.99146454710798,0.039220713,1,"darkgreen",1,0.37169043694571,"Davis et al. 2004"
"31",2.99573227355399,0.292669614,1,"darkgreen",1,-0.431519234072602,"Dukes et al. 2005"
"32",4.60517018598809,0.717839793,1,"darkgreen",1,0,"Bobbink 1991"
"33",4.60517018598809,0.385262401,1,"darkgreen",1,0,"Bobbink 1991"
"34",5.29831736654804,0.277631737,1,"darkgreen",1,0.185845218472855,"Barger et al 2002"
"35",5.11799381241676,-0.051293294,1,"darkgreen",1,0.137497232282884,"Fisk and Fahey 2001"
"36",4.02535169073515,0.444685821,1,"darkgreen",1,-0.155459760851709,"Giardina et al. 2004"
"37",3.40119738166216,-0.139262067,1,"darkgreen",1,-0.322806750327651,"Burton et al. 2004"
"38",3.40119738166216,0.086177696,1,"darkgreen",1,-0.322806750327651,"Burton et al. 2004"
"39",3.40119738166216,0.113328685,1,"darkgreen",1,-0.322806750327651,"Burton et al. 2004"
"40",3.40119738166216,0.009950331,1,"darkgreen",1,-0.322806750327651,"Burton et al. 2004"
"41",3.91202300542815,0.139761942,1,"darkgreen",1,-0.185845218472855,"Magill et al. 2004"
"42",5.01063529409626,-0.040821995,1,"darkgreen",1,0.108712483744951,"Magill et al. 2004"
"43",3.91202300542815,0.113328685,1,"darkgreen",1,-0.185845218472855,"Magill et al. 2004"
"44",3.91202300542815,-0.127833372,1,"darkgreen",1,-0.185845218472855,"Magill et al. 2004"
"45",5.01063529409626,-0.198450939,1,"darkgreen",1,0.108712483744951,"Magill et al. 2004"
"46",3.91202300542815,-0.162518929,1,"darkgreen",1,-0.185845218472855,"Magill et al. 2004"
"47",5.7037824746562,-0.061875404,1,"darkgreen",1,0.294557702217806,"Li et al. 2006"
"48",4.60517018598809,-0.287682072,1,"darkgreen",1,0,"Iversen and Norby 2008"
"49",5.01063529409626,0.431782416,1,"darkgreen",1,0.108712483744951,"Cleveland and Townsend 2006"
"50",3.91202300542815,0,1,"darkgreen",1,-0.185845218472855,"Baer and Blair 2008"
"51",4.0517849478033,0.292669614,1,"darkgreen",1,-0.148372529492256,"Wiemken et al. 2001"
"52",4.0517849478033,-0.116533816,1,"darkgreen",1,-0.148372529492256,"Wiemken et al. 2001"
"53",5.11799381241676,-0.061875404,1,"darkgreen",1,0.137497232282884,"Phillips and Fahey 2007"
"54",5.11799381241676,-0.223143551,1,"darkgreen",1,0.137497232282884,"Phillips and Fahey 2007"
"55",5.11799381241676,-0.174353387,1,"darkgreen",1,0.137497232282884,"Phillips and Fahey 2007"
"56",3.91202300542815,-0.314710745,1,"darkgreen",1,-0.185845218472855,"Mo et al. 2008"
"57",4.60517018598809,-0.510825624,1,"darkgreen",1,0,"Mo et al. 2008"
"58",5.01063529409626,-0.916290732,1,"darkgreen",1,0.108712483744951,"Mo et al. 2008"
"59",4.02535169073515,-0.094310679,1,"darkgreen",1,-0.155459760851709,"Lee and Jose 2003"
"60",4.71849887129509,-0.15082289,1,"darkgreen",1,0.0303854576211463,"Lee and Jose 2003"
"61",5.41164605185504,-0.127833372,1,"darkgreen",1,0.216230676094001,"Lee and Jose 2003"
